DATE,IRLTLT01CLM156N
2004-07-01,6.5
2004-08-01,6.32
2004-09-01,6.16
2004-10-01,6.63
2004-11-01,6.26
2004-12-01,6.02
2005-01-01,5.99
2005-02-01,5.91
2005-03-01,6.09
2005-04-01,6.14
2005-05-01,5.9
2005-06-01,5.68
2005-07-01,5.85
2005-08-01,5.81
2005-09-01,5.87
2005-10-01,6.34
2005-11-01,6.53
2005-12-01,6.48
2006-01-01,6.25
2006-02-01,.
2006-03-01,6.37
2006-04-01,.
2006-05-01,.
2006-06-01,6.51
2006-07-01,.
2006-08-01,.
2006-09-01,6.1
2006-10-01,.
2006-11-01,.
2006-12-01,5.58
2007-01-01,5.34
2007-02-01,.
2007-03-01,5.58
2007-04-01,5.66
2007-05-01,6.34
2007-06-01,6.48
2007-07-01,6.48
2007-08-01,6.2
2007-09-01,6.3
2007-10-01,6.48
2007-11-01,6.24
2007-12-01,6.49
2008-01-01,.
2008-02-01,.
2008-03-01,.
2008-04-01,6.540600897
2008-05-01,7.017644679
2008-06-01,7.567278918
2008-07-01,7.804599372
2008-08-01,7.88893025
2008-09-01,7.653714621
2008-10-01,6.822436219
2008-11-01,6.532445262
2008-12-01,6.083062052
2009-01-01,5.571221597
2009-02-01,4.844531842
2009-03-01,4.886536138
2009-04-01,5.440839443
2009-05-01,5.687311867
2009-06-01,5.890075839
2009-07-01,5.745703031
2009-08-01,5.608758641
2009-09-01,5.852797438
2009-10-01,5.980509036
2009-11-01,6.164408453
2009-12-01,6.310849979
2010-01-01,6.389002565
2010-02-01,6.395744353
2010-03-01,6.467190495
2010-04-01,6.472571337
2010-05-01,6.364313794
2010-06-01,6.365788068
2010-07-01,6.257121885
2010-08-01,5.975469199
2010-09-01,5.963198779
2010-10-01,6.102021927
2010-11-01,6.168201558
2010-12-01,6.113865419
2011-01-01,6.561130332
2011-02-01,6.872065701
2011-03-01,6.580012637
2011-04-01,6.416608745
2011-05-01,6.284909827
2011-06-01,6.270205048
2011-07-01,6.17945583
2011-08-01,5.565036883
2011-09-01,5.052256984
2011-10-01,5.100889192
2011-11-01,5.462210031
2011-12-01,5.290954182
2012-01-01,5.072551907
2012-02-01,5.294448244
2012-03-01,5.786805936
2012-04-01,5.822207204
2012-05-01,5.509679589
2012-06-01,5.353373552
2012-07-01,5.207930456
2012-08-01,5.316411908
2012-09-01,5.352486704
2012-10-01,5.406122041
2012-11-01,5.476210993
2012-12-01,5.508617965
2013-01-01,5.617204123
2013-02-01,5.669880132
2013-03-01,5.600318639
2013-04-01,5.281053819
2013-05-01,5.166661233
2013-06-01,5.275862931
2013-07-01,5.294773233
2013-08-01,5.269818735
2013-09-01,5.266206208
2013-10-01,5.159537956
2013-11-01,4.964596417
2013-12-01,5.138932328
2014-01-01,5.056941943
2014-02-01,5
2014-03-01,5.018711929
2014-04-01,4.914359961
2014-05-01,4.959644164
2014-06-01,4.856438982
2014-07-01,4.662456341
2014-08-01,4.342398031
2014-09-01,4.59026655
2014-10-01,4.633357254
2014-11-01,4.441608727
2014-12-01,4.363199322
2015-01-01,4.184115343
2015-02-01,4.20321193
2015-03-01,4.342276392
2015-04-01,4.492530743
2015-05-01,4.556164895
2015-06-01,4.653217359
2015-07-01,4.550943876
2015-08-01,4.514415815
2015-09-01,4.607369328
2015-10-01,4.466188964
2015-11-01,4.565999405
2015-12-01,4.626223522
2016-01-01,4.563583632
2016-02-01,4.446363874
2016-03-01,4.439795164
2016-04-01,4.392568882
2016-05-01,4.501842392
2016-06-01,4.545489071
2016-07-01,4.406804228
2016-08-01,4.289105335
2016-09-01,4.223877598
2016-10-01,4.203056059
2016-11-01,4.476972562
2016-12-01,4.373863097
2017-01-01,4.16726845
2017-02-01,4.152218285
2017-03-01,4.201197936
2017-04-01,3.90073993
2017-05-01,4.026835903
2017-06-01,4.010153702
2017-07-01,4.221016855
2017-08-01,4.328378613
2017-09-01,4.317870669
2017-10-01,4.488556796
2017-11-01,4.508403693
2017-12-01,4.616859309
2018-01-01,4.523825473
2018-02-01,4.546484455
2018-03-01,4.493291522
2018-04-01,4.417883099
2018-05-01,4.502294734
2018-06-01,4.57651645
2018-07-01,4.564861135
2018-08-01,4.47796613
2018-09-01,4.500978583
2018-10-01,4.568726598
2018-11-01,4.461596616
2018-12-01,4.339862566
2019-01-01,4.49064912
2019-02-01,4.391261799
2019-03-01,4.257079076
2019-04-01,4.117895747
2019-05-01,4.043686697
2019-06-01,3.481092643
2019-07-01,3.157262341
2019-08-01,2.704125659
2019-09-01,2.710507997
2019-10-01,2.943769276
2019-11-01,3.337316363
2019-12-01,3.299992762
2020-01-01,3.301500525
2020-02-01,3.488110981
